4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
Acta Geophysica,地学 ,4区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;3区;3区;4区,否,否,地球科学 ,4区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;3区;3区;4区,否,否
Acta Geotechnica Slovenica,地学 ,4区,ENGINEERING& GEOLOGICAL;工程：地质;4区;4区;4区,否,否,地球科学 ,4区,ENGINEERING& GEOLOGICAL;工程：地质;4区;4区;4区,否,否
ACTA HAEMATOLOGICA,医学 ,4区,HEMATOLOGY;血液学;1区;1区;4区,否,否,医学 ,4区,HEMATOLOGY;血液学;1区;1区;4区,否,否
Acta Herpetologica,生物 ,4区,ZOOLOGY;动物学;1区;1区;4区,否,否,生物学 ,4区,ZOOLOGY;动物学;1区;1区;4区,否,否
ACTA HISTOCHEMICA,生物 ,4区,CELL BIOLOGY;细胞生物学;4区;3区;4区,否,否,生物学 ,4区,CELL BIOLOGY;细胞生物学;4区;3区;4区,否,否
ACTA HISTOCHEMICA ET CYTOCHEMICA,生物 ,4区,CELL BIOLOGY;细胞生物学;3区;3区;4区,否,否,生物学 ,4区,CELL BIOLOGY;细胞生物学;3区;3区;4区,否,否
ACTA ICHTHYOLOGICA ET PISCATORIA,农林科学 ,4区,FISHERIES;渔业;2区;3区;4区;ZOOLOGY;动物学;4区;1区;4区,否,否,农林科学 ,4区,FISHERIES;渔业;2区;3区;4区;ZOOLOGY;动物学;4区;1区;4区,否,否
ACTA INFORMATICA,工程技术 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区,否,否
ACTA MATERIALIA,工程技术 ,1区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;2区;1区;2区;METALLURGY & METALLURGICAL ENGINEERING;冶金工程;4区;3区;1区,是,否,材料科学 ,1区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;2区;1区;2区;METALLURGY & METALLURGICAL ENGINEERING;冶金工程;4区;3区;1区,是,否
ACTA MATHEMATICA,数学 ,1区,MATHEMATICS;数学;1区;4区;1区,是,否,数学 ,1区,MATHEMATICS;数学;1区;4区;1区,是,否
ACTA MATHEMATICA HUNGARICA,数学 ,4区,MATHEMATICS;数学;3区;2区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;2区;4区,否,否
ACTA MATHEMATICA SCIENTIA,数学 ,2区,MATHEMATICS;数学;4区;3区;2区,否,否,数学 ,2区,MATHEMATICS;数学;4区;3区;2区,否,否
ACTA MATHEMATICA SINICA-ENGLISH SERIES,数学 ,3区,MATHEMATICS;数学;1区;3区;3区;MATHEMATICS& APPLIED;应用数学;1区;2区;4区,否,否,数学 ,3区,MATHEMATICS;数学;1区;3区;3区;MATHEMATICS& APPLIED;应用数学;1区;2区;4区,否,否
Acta Mathematicae Applicatae Sinica-English Series,数学 ,4区,MATHEMATICS& APPLIED;应用数学;2区;1区;4区,否,否,数学 ,4区,MATHEMATICS& APPLIED;应用数学;2区;1区;4区,否,否
ACTA MECHANICA,工程技术 ,3区,MECHANICS;力学;3区;1区;3区,否,否,工程技术 ,3区,MECHANICS;力学;3区;1区;3区,否,否
ACTA MECHANICA SINICA,工程技术 ,3区,ENGINEERING& MECHANICAL;工程：机械;1区;3区;3区;MECHANICS;力学;4区;2区;3区,否,否,工程技术 ,3区,ENGINEERING& MECHANICAL;工程：机械;1区;3区;3区;MECHANICS;力学;4区;2区;3区,否,否
ACTA MECHANICA SOLIDA SINICA,工程技术 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;3区;MECHANICS;力学;1区;4区;3区,否,否,工程技术 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;3区;MECHANICS;力学;1区;4区;3区,否,否
Acta Medica Mediterranea,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;2区;1区;4区,否,否,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;2区;1区;4区,否,否
ACTA MEDICA OKAYAMA,医学 ,4区,MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;3区;1区;4区,否,否,医学 ,4区,MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;3区;1区;4区,否,否
Acta Medica Portuguesa,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;2区;4区,否,否,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;2区;4区,否,否
ACTA MEDICA SCANDINAVICA,
ACTA METALLURGICA SINICA,工程技术 ,3区,METALLURGY & METALLURGICAL ENGINEERING;冶金工程;4区;1区;3区,否,否,材料科学 ,3区,METALLURGY & METALLURGICAL ENGINEERING;冶金工程;4区;1区;3区,否,否
Acta Meteorologica Sinica,
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,生物 ,4区,IMMUNOLOGY;免疫学;4区;3区;4区;MICROBIOLOGY;微生物学;4区;4区;4区,否,否,生物学 ,4区,IMMUNOLOGY;免疫学;4区;3区;4区;MICROBIOLOGY;微生物学;4区;4区;4区,否,否
Acta Microscopica,生物 ,4区,MICROSCOPY;显微镜技术;3区;4区;4区,否,是,工程技术 ,4区,MICROSCOPY;显微镜技术;3区;4区;4区,否,是
Acta Montanistica Slovaca,地学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;3区;2区;4区;MINING & MINERAL PROCESSING;矿业与矿物加工;3区;3区;4区,否,否,地球科学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;3区;2区;4区;MINING & MINERAL PROCESSING;矿业与矿物加工;3区;3区;4区,否,否
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,医学 ,4区,NEUROSCIENCES;神经科学;2区;1区;4区,否,否,医学 ,4区,NEUROSCIENCES;神经科学;2区;1区;4区,否,否
ACTA NEUROCHIRURGICA,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;3区;1区;4区;SURGERY;外科;1区;2区;4区,否,否,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;3区;1区;4区;SURGERY;外科;1区;2区;4区,否,否
ACTA NEUROLOGICA BELGICA,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;3区;4区;4区;NEUROSCIENCES;神经科学;3区;1区;4区,否,否,医学 ,4区,CLINICAL NEUROLOGY;临床神经病学;3区;4区;4区;NEUROSCIENCES;神经科学;3区;1区;4区,否,否
ACTA NEUROLOGICA SCANDINAVICA,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;1区;1区;3区,否,否,医学 ,3区,CLINICAL NEUROLOGY;临床神经病学;1区;1区;3区,否,否
ACTA NEUROPATHOLOGICA,医学 ,1区,CLINICAL NEUROLOGY;临床神经病学;3区;3区;1区;NEUROSCIENCES;神经科学;4区;1区;1区;PATHOLOGY;病理学;2区;2区;1区,是,否,医学 ,1区,CLINICAL NEUROLOGY;临床神经病学;3区;3区;1区;NEUROSCIENCES;神经科学;4区;1区;1区;PATHOLOGY;病理学;2区;2区;1区,是,否
ACTA NEUROPSYCHIATRICA,医学 ,4区,NEUROSCIENCES;神经科学;3区;1区;4区;PSYCHIATRY;精神病学;1区;4区;4区,否,否,医学 ,4区,NEUROSCIENCES;神经科学;3区;1区;4区;PSYCHIATRY;精神病学;1区;4区;4区,否,否
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,医学 ,3区,OBSTETRICS & GYNECOLOGY;妇产科学;1区;1区;3区,否,否,医学 ,2区,OBSTETRICS & GYNECOLOGY;妇产科学;1区;1区;3区,否,否
ACTA OCEANOLOGICA SINICA,LetPub助力作者发表在《ACTA OCEANOL SIN》上的文章案例，致谢部分提及LetPub---1篇,地学 ,2区,OCEANOGRAPHY;海洋学;4区;4区;2区,否,否,地球科学 ,2区,OCEANOGRAPHY;海洋学;4区;4区;2区,否,否
ACTA ODONTOLOGICA SCANDINAVICA,医学 ,4区,DENTISTRY& ORAL SURGERY & MEDICINE;牙科与口腔外科;2区;4区;4区,否,否,医学 ,4区,DENTISTRY& ORAL SURGERY & MEDICINE;牙科与口腔外科;2区;4区;4区,否,否
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,环境科学与生态学 ,4区,ECOLOGY;生态学;2区;3区;4区,否,否,环境科学与生态学 ,3区,ECOLOGY;生态学;2区;3区;4区,否,否
Acta of Bioengineering and Biomechanics,工程技术 ,4区,BIOPHYSICS;生物物理;3区;2区;4区;ENGINEERING& BIOMEDICAL;工程：生物医学;2区;2区;4区,否,否,工程技术 ,4区,BIOPHYSICS;生物物理;3区;2区;4区;ENGINEERING& BIOMEDICAL;工程：生物医学;2区;2区;4区,否,否
ACTA ONCOLOGICA,医学 ,3区,ONCOLOGY;肿瘤学;2区;3区;3区,否,否,医学 ,3区,ONCOLOGY;肿瘤学;2区;3区;3区,否,否
ACTA OPHTHALMOLOGICA,医学 ,3区,OPHTHALMOLOGY;眼科学;3区;1区;2区,否,否,医学 ,2区,OPHTHALMOLOGY;眼科学;3区;1区;2区,否,否
ACTA ORNITHOLOGICA,生物 ,4区,ORNITHOLOGY;鸟类学;4区;3区;4区,否,否,生物学 ,4区,ORNITHOLOGY;鸟类学;4区;3区;4区,否,否
Acta Orthopaedica,医学 ,3区,ORTHOPEDICS;骨科;2区;1区;2区,否,否,医学 ,2区,ORTHOPEDICS;骨科;2区;1区;2区,否,否
Acta Orthopaedica Belgica,
Acta Orthopaedica et Traumatologica Turcica,LetPub助力作者发表在《ACTA ORTHOP TRAUMATO》上的文章案例，致谢部分提及LetPub---1篇,医学 ,4区,ORTHOPEDICS;骨科;4区;4区;4区,否,否,医学 ,4区,ORTHOPEDICS;骨科;4区;4区;4区,否,否
Acta Ortopedica Brasileira,医学 ,4区,ORTHOPEDICS;骨科;1区;4区;4区,否,否,医学 ,4区,ORTHOPEDICS;骨科;1区;4区;4区,否,否
ACTA OTO-LARYNGOLOGICA,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;1区;3区;4区,否,否,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;1区;3区;4区,否,否
Acta Otorhinolaryngologica Italica,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;2区;3区;4区,否,否,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;2区;3区;4区,否,否
ACTA PAEDIATRICA,医学 ,4区,PEDIATRICS;儿科;4区;3区;3区,否,否,医学 ,4区,PEDIATRICS;儿科;4区;3区;3区,否,否
ACTA PALAEONTOLOGICA POLONICA,地学 ,4区,PALEONTOLOGY;古生物学;2区;1区;3区,否,否,地球科学 ,3区,PALEONTOLOGY;古生物学;2区;1区;3区,否,否
ACTA PARASITOLOGICA,医学 ,4区,PARASITOLOGY;寄生虫学;1区;2区;4区,否,否,医学 ,4区,PARASITOLOGY;寄生虫学;1区;2区;4区,否,否
Acta Paulista de Enfermagem,医学 ,4区,NURSING;护理;3区;4区;4区,否,否,医学 ,4区,NURSING;护理;3区;4区;4区,否,否
ACTA PETROLOGICA SINICA,地学 ,3区,GEOLOGY;地质学;1区;3区;3区,否,否,地球科学 ,3区,GEOLOGY;地质学;1区;3区;3区,否,否
ACTA PHARMACEUTICA,医学 ,4区,PHARMACOLOGY & PHARMACY;药学;4区;1区;4区,否,否,医学 ,4区,PHARMACOLOGY & PHARMACY;药学;4区;1区;4区,否,否
ACTA PHARMACOLOGICA SINICA,LetPub助力作者发表在《ACTA PHARMACOL SIN》上的文章案例，致谢部分提及LetPub---1篇,医学 ,2区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;2区;PHARMACOLOGY & PHARMACY;药学;2区;2区;2区,否,否,医学 ,2区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;2区;PHARMACOLOGY & PHARMACY;药学;2区;2区;2区,否,否
ACTA PHYSICA POLONICA A,物理 ,4区,PHYSICS& MULTIDISCIPLINARY;物理：综合;1区;2区;4区,否,否,物理与天体物理 ,4区,PHYSICS& MULTIDISCIPLINARY;物理：综合;1区;2区;4区,否,否
ACTA PHYSICA POLONICA B,物理 ,4区,PHYSICS& MULTIDISCIPLINARY;物理：综合;1区;2区;4区,否,否,物理与天体物理 ,4区,PHYSICS& MULTIDISCIPLINARY;物理：综合;1区;2区;4区,否,否
ACTA PHYSICA SINICA,物理 ,3区,PHYSICS& MULTIDISCIPLINARY;物理：综合;1区;4区;3区,否,否,物理与天体物理 ,3区,PHYSICS& MULTIDISCIPLINARY;物理：综合;1区;4区;3区,否,否
ACTA PHYSICA SLOVACA,物理 ,4区,PHYSICS& MULTIDISCIPLINARY;物理：综合;3区;4区;4区,否,否,物理与天体物理 ,4区,PHYSICS& MULTIDISCIPLINARY;物理：综合;3区;4区;4区,否,否
ACTA PHYSICO-CHIMICA SINICA,化学 ,3区,CHEMISTRY& PHYSICAL;物理化学;3区;4区;3区,否,否,化学 ,3区,CHEMISTRY& PHYSICAL;物理化学;3区;4区;3区,否,否
Phlebologie-Annales Vasculaires,
ACTA PHYSIOLOGIAE PLANTARUM,LetPub助力作者发表在《ACTA PHYSIOL PLANT》上的文章案例，致谢部分提及LetPub---1篇,生物 ,4区,PLANT SCIENCES;植物科学;1区;3区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;1区;3区;4区,否,否
Acta Physiologica,医学 ,2区,PHYSIOLOGY;生理学;3区;4区;1区,是,否,医学 ,2区,PHYSIOLOGY;生理学;3区;4区;1区,是,否
ACTA PHYSIOLOGICA HUNGARICA,
ACTA POLONIAE PHARMACEUTICA,医学 ,4区,PHARMACOLOGY & PHARMACY;药学;4区;3区;4区,否,否,医学 ,4区,PHARMACOLOGY & PHARMACY;药学;4区;3区;4区,否,否
ACTA POLYMERICA SINICA,化学 ,3区,POLYMER SCIENCE;高分子科学;3区;2区;3区,否,否,化学 ,3区,POLYMER SCIENCE;高分子科学;3区;2区;3区,否,否
Acta Polytechnica Hungarica,工程技术 ,4区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;2区;1区;4区,否,否,工程技术 ,4区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;2区;1区;4区,否,否
ACTA PROTOZOOLOGICA,生物 ,4区,MICROBIOLOGY;微生物学;2区;1区;4区,否,否,生物学 ,4区,MICROBIOLOGY;微生物学;2区;1区;4区,否,否
ACTA PSYCHIATRICA SCANDINAVICA,医学 ,2区,PSYCHIATRY;精神病学;1区;2区;2区,否,否,医学 ,2区,PSYCHIATRY;精神病学;1区;2区;2区,否,否
ACTA RADIOLOGICA,医学 ,4区,RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;4区;4区;4区,否,否,医学 ,4区,RADIOLOGY& NUCLEAR MEDICINE & MEDICAL IMAGING;核医学;4区;4区;4区,否,否
Acta Reumatologica Portuguesa,医学 ,4区,RHEUMATOLOGY;风湿病学;3区;4区;4区,否,否,医学 ,4区,RHEUMATOLOGY;风湿病学;3区;4区;4区,否,否
Acta Scientiae Veterinariae,农林科学 ,4区,VETERINARY SCIENCES;兽医学;2区;2区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;2区;2区;4区,否,否
Acta Scientiarum Polonorum-Hortorum Cultus,农林科学 ,4区,HORTICULTURE;园艺;1区;3区;4区,否,否,农林科学 ,4区,HORTICULTURE;园艺;1区;3区;4区,否,否
Acta scientiarum. Agronomy.,
ACTA SCIENTIARUM-TECHNOLOGY,综合性期刊 ,4区,MULTIDISCIPLINARY SCIENCES;综合性期刊;2区;4区;4区,否,否,综合性期刊 ,4区,MULTIDISCIPLINARY SCIENCES;综合性期刊;2区;4区;4区,否,否
ACTA SOCIETATIS BOTANICORUM POLONIAE,LetPub助力作者发表在《ACTA SOC BOT POL》上的文章案例，致谢部分提及LetPub---1篇,生物 ,4区,PLANT SCIENCES;植物科学;4区;1区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;4区;1区;4区,否,否
ACTA THERIOLOGICA,
ACTA TROPICA,医学 ,3区,PARASITOLOGY;寄生虫学;2区;2区;3区;TROPICAL MEDICINE;热带医学;1区;4区;3区,否,否,医学 ,2区,PARASITOLOGY;寄生虫学;2区;2区;3区;TROPICAL MEDICINE;热带医学;1区;4区;3区,否,否
ACTA VETERINARIA BRNO,农林科学 ,4区,VETERINARY SCIENCES;兽医学;2区;2区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;2区;2区;4区,否,否
ACTA VETERINARIA HUNGARICA,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;2区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;1区;2区;4区,否,否
ACTA VETERINARIA SCANDINAVICA,农林科学 ,3区,VETERINARY SCIENCES;兽医学;2区;2区;3区,否,否,农林科学 ,3区,VETERINARY SCIENCES;兽医学;2区;2区;3区,否,否
ACTA VETERINARIA-BEOGRAD,农林科学 ,4区,VETERINARY SCIENCES;兽医学;3区;1区;4区,否,否,农林科学 ,4区,VETERINARY SCIENCES;兽医学;3区;1区;4区,否,否
ACTA VIROLOGICA,医学 ,4区,VIROLOGY;病毒学;1区;1区;4区,否,否,医学 ,4区,VIROLOGY;病毒学;1区;1区;4区,否,否
ACTA ZOOLOGICA,生物 ,4区,ANATOMY & MORPHOLOGY;解剖学与形态学;2区;2区;4区;ZOOLOGY;动物学;1区;3区;4区,否,否,生物学 ,4区,ANATOMY & MORPHOLOGY;解剖学与形态学;2区;2区;4区;ZOOLOGY;动物学;1区;3区;4区,否,否
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,生物 ,4区,ZOOLOGY;动物学;1区;1区;4区,否,否,生物学 ,4区,ZOOLOGY;动物学;1区;1区;4区,否,否
ACTA ZOOLOGICA BULGARICA,生物 ,4区,ZOOLOGY;动物学;4区;3区;4区,否,否,生物学 ,4区,ZOOLOGY;动物学;4区;3区;4区,否,否
ACTAS ESPANOLAS DE PSIQUIATRIA,医学 ,4区,NEUROSCIENCES;神经科学;3区;2区;4区;PSYCHIATRY;精神病学;4区;2区;4区,否,否,医学 ,4区,NEUROSCIENCES;神经科学;3区;2区;4区;PSYCHIATRY;精神病学;4区;2区;4区,否,否
Actas Urologicas Espanolas,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;3区;1区;4区,否,否,医学 ,4区,UROLOGY & NEPHROLOGY;泌尿学与肾脏学;3区;1区;4区,否,否
ACTUALITE CHIMIQUE,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,医学 ,4区,INTEGRATIVE & COMPLEMENTARY MEDICINE;全科医学与补充医学;3区;4区;4区;NEUROSCIENCES;神经科学;4区;3区;4区,否,否,医学 ,4区,INTEGRATIVE & COMPLEMENTARY MEDICINE;全科医学与补充医学;3区;4区;4区;NEUROSCIENCES;神经科学;4区;3区;4区,否,否
Ad Hoc & Sensor Wireless Networks,工程技术 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;4区;4区;TELECOMMUNICATIONS;电信学;3区;4区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;4区;4区;4区;TELECOMMUNICATIONS;电信学;3区;4区;4区,否,否
Ad Hoc Networks,工程技术 ,2区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;2区;TELECOMMUNICATIONS;电信学;1区;3区;3区,否,否,计算机科学 ,2区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;2区;TELECOMMUNICATIONS;电信学;1区;3区;3区,否,否
ADANSONIA,生物 ,4区,PLANT SCIENCES;植物科学;2区;2区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;2区;2区;4区,否,否
ADAPTED PHYSICAL ACTIVITY QUARTERLY,医学 ,4区,REHABILITATION;康复医学;3区;4区;4区;SPORT SCIENCES;运动科学;2区;3区;4区,否,否,医学 ,4区,REHABILITATION;康复医学;3区;4区;4区;SPORT SCIENCES;运动科学;2区;3区;4区,否,否
ADAPTIVE BEHAVIOR,工程技术 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;3区;4区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;3区;4区;4区,否,否
ADDICTION,医学 ,2区,PSYCHIATRY;精神病学;1区;4区;2区;SUBSTANCE ABUSE;药物滥用;1区;2区;1区,是,否,医学 ,1区,PSYCHIATRY;精神病学;1区;4区;2区;SUBSTANCE ABUSE;药物滥用;1区;2区;1区,是,否
ADDICTION BIOLOGY,LetPub助力作者发表在《ADDICT BIOL》上的文章案例，致谢部分提及LetPub---1篇,医学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;2区;1区;2区;SUBSTANCE ABUSE;药物滥用;1区;3区;2区,否,否,医学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;2区;1区;2区;SUBSTANCE ABUSE;药物滥用;1区;3区;2区,是,否
ADDICTIVE BEHAVIORS,医学 ,3区,SUBSTANCE ABUSE;药物滥用;1区;1区;3区,否,否,医学 ,2区,SUBSTANCE ABUSE;药物滥用;1区;1区;3区,否,否
Adicciones,医学 ,3区,SUBSTANCE ABUSE;药物滥用;3区;2区;4区,否,否,医学 ,2区,SUBSTANCE ABUSE;药物滥用;3区;2区;4区,否,否
ADSORPTION SCIENCE & TECHNOLOGY,工程技术 ,4区,CHEMISTRY& APPLIED;应用化学;4区;1区;4区;CHEMISTRY& PHYSICAL;物理化学;4区;1区;4区;ENGINEERING& CHEMICAL;工程：化工;2区;3区;4区,否,否,工程技术 ,4区,CHEMISTRY& APPLIED;应用化学;4区;1区;4区;CHEMISTRY& PHYSICAL;物理化学;4区;1区;4区;ENGINEERING& CHEMICAL;工程：化工;2区;3区;4区,否,否
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,工程技术 ,3区,CHEMISTRY& PHYSICAL;物理化学;2区;1区;4区;ENGINEERING& CHEMICAL;工程：化工;3区;4区;4区,否,否,工程技术 ,4区,CHEMISTRY& PHYSICAL;物理化学;2区;1区;4区;ENGINEERING& CHEMICAL;工程：化工;3区;4区;4区,否,否
ADVANCED COMPOSITE MATERIALS,工程技术 ,4区,MATERIALS SCIENCE& COMPOSITES;材料科学：复合;3区;2区;4区,否,否,材料科学 ,4区,MATERIALS SCIENCE& COMPOSITES;材料科学：复合;3区;2区;4区,否,否
ADVANCED COMPOSITES LETTERS,工程技术 ,4区,MATERIALS SCIENCE& COMPOSITES;材料科学：复合;3区;4区;4区,否,否,材料科学 ,4区,MATERIALS SCIENCE& COMPOSITES;材料科学：复合;3区;4区;4区,否,否
ADVANCED DRUG DELIVERY REVIEWS,医学 ,1区,PHARMACOLOGY & PHARMACY;药学;4区;2区;1区,是,是,医学 ,1区,PHARMACOLOGY & PHARMACY;药学;4区;2区;1区,是,是
ADVANCED ENGINEERING INFORMATICS,工程技术 ,2区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;1区;4区;3区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;2区;4区;2区,否,否,工程技术 ,2区,COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;1区;4区;3区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;2区;4区;2区,是,否
ADVANCED ENGINEERING MATERIALS,工程技术 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;3区;3区,否,否,材料科学 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;3区;3区,否,否
ADVANCED FUNCTIONAL MATERIALS,工程技术 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;3区;1区;1区;CHEMISTRY& PHYSICAL;物理化学;4区;1区;1区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;3区;2区;1区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;1区;3区;1区;PHYSICS& APPLIED;物理：应用;3区;1区;1区;PHYSICS& CONDENSED MATTER;物理：凝聚态物理;4区;2区;1区,是,否,材料科学 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;3区;1区;1区;CHEMISTRY& PHYSICAL;物理化学;4区;1区;1区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;3区;2区;1区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;1区;3区;1区;PHYSICS& APPLIED;物理：应用;3区;1区;1区;PHYSICS& CONDENSED MATTER;物理：凝聚态物理;4区;2区;1区,是,否
ADVANCED MATERIALS,工程技术 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;4区;2区;1区;CHEMISTRY& PHYSICAL;物理化学;4区;1区;1区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;2区;2区;1区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;3区;3区;1区;PHYSICS& APPLIED;物理：应用;3区;4区;1区;PHYSICS& CONDENSED MATTER;物理：凝聚态物理;2区;2区;1区,是,否,材料科学 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;4区;2区;1区;CHEMISTRY& PHYSICAL;物理化学;4区;1区;1区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;2区;2区;1区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;3区;3区;1区;PHYSICS& APPLIED;物理：应用;3区;4区;1区;PHYSICS& CONDENSED MATTER;物理：凝聚态物理;2区;2区;1区,是,否
ADVANCED MATERIALS & PROCESSES,工程技术 ,4区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;3区;4区,否,否,材料科学 ,4区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;1区;3区;4区,否,否
